LATI,LONG,ET0PM,ET0IV,ET0HS,MUNICIPIOS
-10.1689,-48.3317,3.60,4.30,4.39,PALMAS
-12.6162,-47.8836,4.05,4.08,4.63,PARANA
-12.0262,-48.5396,4.06,4.05,4.73,PEIXE
-11.7249,-49.076,4.04,3.29,4.40,GURUPI
-8.9715,-48.1754,3.92,3.18,4.43,PEDRO_AFONSO
-7.19207,-48.2078,3.61,2.36,4.24,ARAGUAINA
-11.6281,-46.8214,4.12,4.16,3.97,DIANOPOLIS
-11.7957,-49.5311,4.14,3.64,4.48,FORMOSO_DO_ARAGUAIA
-10.5464,-46.4168,4.29,4.56,4.69,MATEIROS
-9.79377,-49.6553,3.97,4.63,4.30,MARIANOPOLIS_DO_TO
-5.65615,-48.1189,3.81,3.16,4.35,ARAGUATINS
