LATI,LONG,ET0PM,ET0IV,ET0HS,MUNICIPIOS
-10.1689,-48.3317,3.81,4.01,4.60,PALMAS
-12.6162,-47.8836,4.38,3.92,4.86,PARANA
-12.0262,-48.5396,4.35,3.18,4.75,PEIXE
-11.7249,-49.076,4.22,3.00,4.57,GURUPI
-8.9715,-48.1754,4.02,2.99,4.50,PEDRO_AFONSO
-7.19207,-48.2078,3.73,2.64,4.73,ARAGUAINA
-11.6281,-46.8214,4.16,3.67,4.18,DIANOPOLIS
-11.7957,-49.5311,4.30,3.63,4.97,FORMOSO_DO_ARAGUAIA
-10.5464,-46.4168,4.23,3.78,4.63,MATEIROS
-9.79377,-49.6553,4.41,4.82,4.70,MARIANOPOLIS_DO_TO
-5.65615,-48.1189,3.86,3.26,4.41,ARAGUATINS
