lati,long,etopm,etoiv,etohs,municipios
-10.1689,-48.3317,3.74,4.10,4.83,palmas
-12.6162,-47.8836,4.45,4.10,4.92,parana
-12.0262,-48.5396,4.25,3.11,4.52,peixe
-11.7249,-49.076,4.22,3.08,4.57,gurupi
-8.9715,-48.1754,4.07,2.96,4.51,pedro_afonso
-7.19207,-48.2078,3.60,2.89,4.85,araguaina
-11.6281,-46.8214,4.11,3.50,4.15,dianopolis
-11.7957,-49.5311,4.16,3.44,4.73,formoso_do_araguaia
-10.5464,-46.4168,4.48,4.29,4.98,mateiros
-9.79377,-49.6553,4.36,4.71,4.67,marianopolis_do_to
-5.65615,-48.1189,3.62,3.30,4.24,araguatins
